DFW data by course for Spring 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highlighted courses mean enrollment per term >= 20 and DFW rate >= 20% (red) or between 15% and 20% (yellow).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,DFW Rate,,,,,,,,,,,,,,,,"DFW equity gap (in percentage points)
compared to Female, Not Pell, White, Non-URM, and Not first generation, respectively.
Positive equity gap means the given group has a higher DFW rate than the comparison group",,,,,,,,,,Each group's percent of total course enrollment,,,,,,,,,,,,,
NSM,Mathematics,STAT,STAT 1,Intro To Statistics,Lower,3,879,13.0%,20.9%,22.0%,18.8%,18.4%,23.8%,28.1%,19.0%,24.7%,100.0%,21.4%,17.3%,16.4%,17.1%,25.2%,25.7%,18.5%,-3.2,5.5,11.6,2.5,8.3,83.6,5.0,0.9,8.2,7.2,60.4%,39.2%,46.8%,6.5%,24.0%,39.1%,0.1%,1.6%,5.9%,16.6%,52.7%,47.3%,37.7%,
SSIS,Political Science,POLS,POLS 145,Asian Politics,Upper,3,38,5.3%,21.1%,30.4%,7.1%,17.6%,23.8%,,33.3%,26.7%,,,,0.0%,17.4%,26.7%,23.1%,20.0%,-23.3,6.2,,33.3,26.7,,,,9.3,3.1,60.5%,36.8%,55.3%,,23.7%,39.5%,,,,28.9%,60.5%,39.5%,34.2%,
NSM,Biological Sciences,BIO,BIO 150,Forensic Biology,Upper,3,33,0.0%,21.2%,22.2%,16.7%,25.0%,17.6%,0.0%,16.7%,25.0%,,,40.0%,14.3%,20.0%,23.1%,16.7%,23.8%,-5.6,-7.4,-14.3,2.4,10.7,,,25.7,3.1,-7.1,81.8%,18.2%,51.5%,3.0%,18.2%,36.4%,,,15.2%,21.2%,60.6%,39.4%,36.4%,
NSM,Mathematics,MATH,MATH 1,Mathematical Reasoning,Lower,3,287,9.1%,21.3%,19.6%,23.7%,15.7%,25.3%,22.7%,18.9%,21.5%,,0.0%,16.7%,26.1%,20.8%,21.5%,22.8%,20.1%,4.1,9.6,-3.4,-7.2,-4.6,,-26.1,-9.4,0.8,2.6,58.5%,41.1%,57.8%,7.7%,12.9%,55.1%,,0.3%,6.3%,16.0%,36.9%,63.1%,42.9%,
COB,Info Sys and Biz Analytics,MIS,MIS 1,Word Processing,Lower,1,94,1.1%,21.3%,22.0%,20.8%,22.0%,20.8%,66.7%,12.5%,29.0%,50.0%,0.0%,,0.0%,14.0%,32.4%,20.5%,22.2%,-1.2,-1.2,66.7,12.5,29.0,50.0,0.0,,18.4,-1.8,43.6%,56.4%,56.4%,3.2%,34.0%,33.0%,2.1%,1.1%,,20.2%,60.6%,39.4%,46.8%,
ALS,Philosophy,PHIL,PHIL 2,Ethics,Lower,3,277,4.7%,21.3%,22.3%,20.0%,22.0%,20.6%,31.8%,19.6%,23.9%,,40.0%,17.6%,9.6%,16.8%,25.7%,18.6%,22.5%,-2.3,-1.4,22.2,10.0,14.3,,30.4,8.0,8.9,-4.0,56.7%,43.3%,49.1%,7.9%,20.2%,40.8%,,1.8%,6.1%,18.8%,49.5%,50.5%,35.0%,
ALS,Humanities and Religious Studies,HRS,HRS 185,Women Film+Amer Culture,Upper,3,42,0.0%,21.4%,18.2%,33.3%,10.0%,31.8%,40.0%,0.0%,21.4%,,,33.3%,11.1%,17.4%,26.3%,20.0%,23.1%,15.2,21.8,28.9,-11.1,10.3,,,22.2,8.9,-3.1,78.6%,21.4%,52.4%,11.9%,4.8%,33.3%,,,21.4%,21.4%,54.8%,45.2%,35.7%,
ALS,Music,MUSC,MUSC 12C,Musicianship III,Lower,2,14,7.1%,21.4%,33.3%,12.5%,0.0%,33.3%,,25.0%,25.0%,,,33.3%,0.0%,20.0%,25.0%,0.0%,23.1%,-20.8,33.3,,25.0,25.0,,,33.3,5.0,-23.1,42.9%,57.1%,64.3%,,28.6%,28.6%,,,21.4%,21.4%,71.4%,28.6%,7.1%,
ALS,Philosophy,PHIL,PHIL 152,Recent Ethical Theory,Upper,3,14,7.1%,21.4%,25.0%,16.7%,12.5%,33.3%,0.0%,0.0%,25.0%,,,33.3%,0.0%,22.2%,20.0%,33.3%,12.5%,-8.3,20.8,0.0,0.0,25.0,,,33.3,-2.2,20.8,57.1%,42.9%,42.9%,7.1%,7.1%,28.6%,,,21.4%,28.6%,64.3%,35.7%,42.9%,
ALS,Philosophy,PHIL,PHIL 154,Philosophy Of Language,Upper,3,14,0.0%,21.4%,0.0%,25.0%,22.2%,20.0%,,,25.0%,,,0.0%,50.0%,16.7%,25.0%,20.0%,25.0%,25.0,-2.2,,,-25.0,,,-50.0,8.3,-5.0,14.3%,85.7%,35.7%,,,57.1%,,,14.3%,14.3%,42.9%,57.1%,35.7%,
HHS,"Recreation, Parks, and Tourism Administration",RPTA,RPTA 42,"Natural, Cultural Resources",Lower,3,14,7.1%,21.4%,28.6%,14.3%,16.7%,25.0%,,0.0%,25.0%,,,,28.6%,20.0%,25.0%,20.0%,22.2%,-14.3,8.3,,-28.6,-3.6,,,,5.0,-2.2,50.0%,50.0%,57.1%,,14.3%,28.6%,,,,50.0%,71.4%,28.6%,35.7%,
NSM,Chemistry,CHEM,CHEM 142,Intro To Physical Chem,Upper,4,14,21.4%,21.4%,22.2%,20.0%,22.2%,20.0%,100.0%,25.0%,0.0%,,,0.0%,0.0%,20.0%,25.0%,50.0%,16.7%,-2.2,-2.2,100.0,25.0,0.0,,,0.0,5.0,33.3,64.3%,35.7%,35.7%,7.1%,28.6%,21.4%,,,7.1%,21.4%,71.4%,28.6%,14.3%,
NSM,Geology,GEOL,GEOL 120,Surficial Processes,Upper,4,14,7.1%,21.4%,25.0%,16.7%,20.0%,22.2%,0.0%,0.0%,25.0%,,,,28.6%,25.0%,16.7%,0.0%,37.5%,-8.3,2.2,-28.6,-28.6,-3.6,,,,-8.3,-37.5,57.1%,42.9%,64.3%,14.3%,7.1%,28.6%,,,,50.0%,57.1%,42.9%,35.7%,
SSIS,Political Science,POLS,POLS 166,Gender and Politics,Upper,3,42,0.0%,21.4%,15.2%,44.4%,15.4%,31.3%,0.0%,0.0%,41.2%,,,25.0%,0.0%,8.7%,36.8%,30.0%,20.0%,29.3,15.9,0.0,0.0,41.2,,,25.0,28.1,10.0,78.6%,21.4%,38.1%,4.8%,7.1%,40.5%,,,9.5%,28.6%,54.8%,45.2%,23.8%,
COB,Accounting,ACCY,ACCY 1,Accounting Fundamentals,Lower,3,303,7.3%,21.5%,18.2%,24.4%,16.3%,27.3%,48.0%,15.5%,25.5%,,0.0%,15.4%,12.9%,15.0%,29.4%,22.2%,22.2%,6.2,11.0,35.1,2.6,12.6,,-12.9,2.5,14.4,0.0,47.2%,52.8%,47.2%,8.3%,23.4%,36.3%,,0.3%,4.3%,20.5%,55.1%,44.9%,32.7%,
SSIS,Political Science,POLS,POLS 180,Calif State+Local Govt,Upper,3,191,4.2%,21.5%,21.1%,22.0%,17.2%,26.1%,53.8%,18.2%,26.2%,,33.3%,10.0%,14.7%,14.5%,30.9%,23.1%,21.2%,0.9,8.9,39.1,3.5,11.4,,18.6,-4.7,16.3,1.9,57.1%,42.9%,48.2%,6.8%,11.5%,34.0%,,1.6%,5.2%,35.6%,57.6%,42.4%,27.2%,
NSM,Mathematics,MATH,MATH 35,Intro To Linear Algebra,Lower,3,23,0.0%,21.7%,25.0%,20.0%,12.5%,26.7%,,20.0%,33.3%,,,40.0%,0.0%,17.6%,33.3%,14.3%,25.0%,-5.0,14.2,,20.0,33.3,,,40.0,15.7,-10.7,34.8%,65.2%,65.2%,,21.7%,26.1%,,,21.7%,26.1%,73.9%,26.1%,30.4%,
NSM,Mathematics,MATH,MATH 150,Intro Numerical Analysis,Upper,3,23,0.0%,21.7%,0.0%,29.4%,27.3%,16.7%,,20.0%,33.3%,,,33.3%,22.2%,20.0%,33.3%,0.0%,31.3%,29.4,-10.6,,-2.2,11.1,,,11.1,13.3,-31.3,26.1%,73.9%,52.2%,,21.7%,13.0%,,,13.0%,39.1%,87.0%,13.0%,26.1%,
SSIS,Environmental Studies,ENVS,ENVS 149,Agroecology,Upper,3,23,8.7%,21.7%,15.4%,30.0%,20.0%,23.1%,,0.0%,25.0%,,,33.3%,22.2%,20.0%,25.0%,0.0%,29.4%,14.6,3.1,,-22.2,2.8,,,11.1,5.0,-29.4,56.5%,43.5%,56.5%,,8.7%,34.8%,,,13.0%,39.1%,65.2%,34.8%,21.7%,
ALS,Art,ART,ART 97,Beginning Electronic Art,Lower,3,55,7.3%,21.8%,28.6%,14.8%,15.4%,27.6%,60.0%,27.3%,25.0%,0.0%,,0.0%,20.0%,16.2%,33.3%,28.6%,17.8%,-13.8,12.2,40.0,7.3,5.0,-20.0,,-20.0,17.1,10.8,50.9%,49.1%,52.7%,9.1%,20.0%,21.8%,1.8%,,14.5%,27.3%,67.3%,32.7%,12.7%,
ALS,History,HIST,HIST 100,Intro Historical Skills,Upper,3,110,11.8%,21.8%,23.4%,20.6%,20.9%,23.3%,40.0%,27.3%,24.1%,0.0%,,22.2%,15.9%,20.0%,25.7%,34.5%,16.5%,-2.8,2.4,24.1,11.4,8.2,-15.9,,6.3,5.7,18.0,42.7%,57.3%,39.1%,4.5%,10.0%,26.4%,0.9%,,8.2%,40.0%,68.2%,31.8%,26.4%,
NSM,Geography,GEOG,GEOG 1,Physical Geography,Lower,3,356,3.1%,21.9%,23.1%,20.5%,15.2%,26.8%,44.8%,22.7%,23.5%,75.0%,50.0%,4.0%,11.9%,15.1%,28.3%,22.9%,20.3%,-2.6,11.6,32.9,10.8,11.5,63.1,38.1,-7.9,13.1,2.6,54.8%,45.2%,57.6%,8.1%,18.5%,41.9%,1.1%,0.6%,7.0%,18.8%,48.3%,51.7%,40.4%,
HHS,Kinesiology,KINS,KINS 121,Peak Perform Psych Skills,Upper,3,41,2.4%,22.0%,16.7%,26.1%,18.2%,26.3%,0.0%,40.0%,31.6%,,,0.0%,10.0%,15.0%,28.6%,23.5%,22.7%,9.4,8.1,-10.0,30.0,21.6,,,-10.0,13.6,0.8,43.9%,56.1%,46.3%,4.9%,12.2%,46.3%,,,4.9%,24.4%,48.8%,51.2%,41.5%,
ALS,English,ENGL,ENGL 5,Accel Academic Literacies,Lower,3,"1,127",7.6%,22.1%,21.5%,22.9%,18.1%,25.9%,23.6%,16.8%,25.2%,33.3%,50.0%,23.2%,17.1%,18.5%,25.4%,25.6%,19.7%,1.3,7.8,6.5,-0.3,8.0,16.2,32.9,6.0,6.9,5.9,56.1%,43.5%,51.5%,7.9%,22.2%,43.0%,0.3%,0.9%,6.1%,15.5%,47.9%,52.1%,35.8%,
ALS,Letters & Arts,ALS,ALS 56M,Acad Strategies-NSM:Physics 5A,Lower,1,9,,22.2%,20.0%,25.0%,25.0%,20.0%,,50.0%,16.7%,,0.0%,,,50.0%,14.3%,25.0%,20.0%,5.0,-5.0,,,,,,,-35.7,5.0,55.6%,44.4%,55.6%,,22.2%,66.7%,,11.1%,,,22.2%,77.8%,44.4%,
ALS,Music,MUSC,MUSC 55A,Violin: Inter,Lower,1,9,,22.2%,14.3%,50.0%,40.0%,0.0%,,0.0%,,,,100.0%,16.7%,22.2%,,20.0%,25.0%,35.7,-40.0,,-16.7,,,,83.3,,-5.0,77.8%,22.2%,44.4%,,11.1%,,,,11.1%,66.7%,100.0%,,55.6%,
ALS,Music,MUSC,MUSC 185E,Senior Recital Musc Educ,Upper,1,9,0.0%,22.2%,33.3%,16.7%,16.7%,33.3%,0.0%,0.0%,100.0%,,,,25.0%,14.3%,50.0%,50.0%,14.3%,-16.7,16.7,-25.0,-25.0,75.0,,,,35.7,35.7,33.3%,66.7%,33.3%,11.1%,11.1%,11.1%,,,,44.4%,77.8%,22.2%,22.2%,
NSM,Biological Sciences,BIO,BIO 140,Medical Microbiology,Upper,3,27,0.0%,22.2%,35.3%,0.0%,33.3%,13.3%,0.0%,28.6%,30.0%,,,0.0%,0.0%,18.8%,27.3%,33.3%,13.3%,-35.3,-20.0,0.0,28.6,30.0,,,0.0,8.5,20.0,63.0%,37.0%,55.6%,3.7%,25.9%,37.0%,,,11.1%,14.8%,59.3%,40.7%,44.4%,
NSM,Physics,PHYS,PHYS 30,Science+Pseudoscience,Lower,3,27,0.0%,22.2%,0.0%,28.6%,19.0%,33.3%,0.0%,11.1%,50.0%,,,,0.0%,18.2%,40.0%,0.0%,20.0%,28.6,14.3,0.0,11.1,50.0,,,,21.8,-20.0,22.2%,77.8%,22.2%,3.7%,33.3%,14.8%,,,,18.5%,81.5%,18.5%,14.8%,
SSIS,Anthropology,ANTH,ANTH 191,Anthropology Practicum,Upper,3,18,11.1%,22.2%,18.2%,28.6%,33.3%,16.7%,50.0%,33.3%,33.3%,,,0.0%,0.0%,10.0%,37.5%,33.3%,20.0%,10.4,-16.7,50.0,33.3,33.3,,,0.0,27.5,13.3,61.1%,38.9%,66.7%,11.1%,16.7%,33.3%,,,5.6%,33.3%,55.6%,44.4%,16.7%,
SSIS,Political Science,POLS,POLS 131,International Organization,Upper,3,45,0.0%,22.2%,27.6%,12.5%,10.5%,30.8%,0.0%,60.0%,33.3%,0.0%,0.0%,0.0%,8.3%,17.4%,27.3%,36.8%,11.5%,-15.1,20.2,-8.3,51.7,25.0,-8.3,-8.3,-8.3,9.9,25.3,64.4%,35.6%,57.8%,2.2%,11.1%,40.0%,2.2%,4.4%,6.7%,26.7%,51.1%,48.9%,42.2%,
SSIS,Social Sciences and Interdisciplinary Studies,ASIA,ASIA 1,Asia in the World Today,Lower,3,45,4.4%,22.2%,19.0%,25.0%,25.0%,19.0%,33.3%,12.5%,30.0%,,,,16.7%,18.8%,30.8%,20.0%,24.2%,6.0,-6.0,16.7,-4.2,13.3,,,,12.0,-4.2,46.7%,53.3%,46.7%,6.7%,35.6%,22.2%,,,,13.3%,71.1%,28.9%,11.1%,
HHS,Criminal Justice,CRJ,CRJ 1,Intro Crim Justic+Society,Lower,3,238,11.3%,22.3%,19.4%,26.3%,18.1%,25.6%,22.2%,18.5%,27.3%,,0.0%,10.0%,14.0%,15.4%,26.5%,29.2%,15.2%,6.8,7.5,8.3,4.6,13.4,,-14.0,-4.0,11.1,14.0,58.4%,41.6%,55.9%,7.6%,11.3%,53.8%,,0.4%,4.2%,18.1%,38.2%,61.8%,40.3%,
NSM,Mathematics,MATH,MATH 29,Pre-Calculus Math,Lower,4,165,10.3%,22.4%,24.0%,21.7%,21.4%,23.2%,20.0%,13.2%,27.3%,,33.3%,37.5%,5.3%,17.3%,26.7%,22.1%,23.1%,-2.3,1.7,14.7,7.9,22.0,,28.1,32.2,9.3,-1.0,30.3%,69.7%,57.6%,6.1%,23.0%,46.7%,,1.8%,4.8%,11.5%,45.5%,54.5%,41.2%,
ALS,Communication Studies,COMS,COMS 2,Argumentation,Lower,3,266,9.4%,22.6%,18.8%,27.0%,19.0%,26.4%,23.8%,11.5%,31.0%,0.0%,0.0%,17.4%,12.9%,15.1%,29.3%,28.6%,18.8%,8.3,7.4,10.9,-1.4,18.1,-12.9,-12.9,4.5,14.2,9.8,54.1%,45.9%,48.5%,7.9%,9.8%,43.6%,0.8%,0.4%,8.6%,23.3%,47.4%,52.6%,34.2%,
SSIS,Psychology,PSYC,PSYC 184,Clinical Issues in ABA,Upper,4,22,4.5%,22.7%,27.8%,0.0%,10.0%,33.3%,100.0%,0.0%,36.4%,,,,0.0%,0.0%,41.7%,40.0%,9.1%,-27.8,23.3,100.0,0.0,36.4,,,,41.7,30.9,81.8%,18.2%,54.5%,4.5%,13.6%,50.0%,,,,27.3%,45.5%,54.5%,45.5%,
ALS,History,HIST,HIST 146B,"Modern Japan,1800-Present",Upper,3,35,2.9%,22.9%,14.3%,25.0%,19.2%,33.3%,0.0%,12.5%,75.0%,,,0.0%,23.1%,16.7%,60.0%,25.0%,24.0%,10.7,14.1,-23.1,-10.6,51.9,,,-23.1,43.3,1.0,20.0%,80.0%,25.7%,2.9%,22.9%,11.4%,,,8.6%,37.1%,85.7%,14.3%,11.4%,
COB,Accounting,ACCY,ACCY 171,Federal Tax Procedures I,Upper,3,166,25.9%,22.9%,21.1%,24.4%,24.7%,21.3%,20.0%,15.4%,26.3%,100.0%,50.0%,45.5%,22.0%,20.8%,28.3%,15.7%,29.2%,3.4,-3.3,-2.0,-6.6,4.4,78.0,28.0,23.5,7.4,-13.5,45.8%,54.2%,53.6%,3.0%,31.3%,22.9%,0.6%,1.2%,6.6%,24.7%,72.3%,27.7%,42.2%,
ALS,Art,ART,ART 143/CSC 127,3D Computer Animation,Upper,3,13,,23.1%,50.0%,0.0%,50.0%,11.1%,,50.0%,33.3%,,,0.0%,25.0%,20.0%,33.3%,0.0%,27.3%,-50.0,-38.9,,25.0,8.3,,,-25.0,13.3,-27.3,46.2%,53.8%,69.2%,,15.4%,23.1%,,,23.1%,30.8%,76.9%,23.1%,7.7%,
ALS,Communication Studies,COMS,COMS 173,"Comm,Language+Culture",Upper,3,13,7.7%,23.1%,25.0%,20.0%,25.0%,20.0%,0.0%,0.0%,33.3%,,,50.0%,0.0%,16.7%,28.6%,33.3%,20.0%,-5.0,-5.0,0.0,0.0,33.3,,,50.0,11.9,13.3,61.5%,38.5%,38.5%,7.7%,7.7%,46.2%,,,15.4%,23.1%,46.2%,53.8%,23.1%,
ALS,Music,MUSC,MUSC 185,Senior Recital,Upper,2,13,,23.1%,60.0%,0.0%,14.3%,33.3%,0.0%,,,,,100.0%,10.0%,25.0%,0.0%,0.0%,27.3%,-60.0,19.0,-10.0,,,,,90.0,-25.0,-27.3,38.5%,61.5%,46.2%,7.7%,,,,,7.7%,76.9%,92.3%,7.7%,15.4%,
ECS,Engineering,ENGR,ENGR 6,Engr Graphics+CADD,Lower,3,78,16.7%,23.1%,37.5%,21.4%,17.1%,27.9%,20.0%,29.4%,20.6%,,,25.0%,16.7%,25.6%,20.5%,17.2%,25.0%,-16.1,10.8,3.3,12.7,3.9,,,8.3,-5.1,-7.8,10.3%,89.7%,55.1%,6.4%,21.8%,43.6%,,,5.1%,15.4%,50.0%,50.0%,37.2%,
ALS,Music,MUSC,MUSC 10B,Survey of Music Lit II,Lower,3,43,16.3%,23.3%,22.2%,24.0%,20.8%,26.3%,50.0%,0.0%,33.3%,,,20.0%,25.0%,18.8%,36.4%,50.0%,17.1%,1.8,5.5,25.0,-25.0,8.3,,,-5.0,17.6,32.9,41.9%,58.1%,44.2%,4.7%,9.3%,20.9%,,,11.6%,46.5%,74.4%,25.6%,18.6%,
SSIS,Ethnic Studies,ETHN,ETHN 117/POLS 117,Black Political Thought,Upper,3,30,0.0%,23.3%,38.9%,0.0%,33.3%,19.0%,23.1%,0.0%,37.5%,,,0.0%,50.0%,11.1%,28.6%,22.2%,23.8%,-38.9,-14.3,-26.9,-50.0,-12.5,,,-50.0,17.5,-1.6,60.0%,40.0%,70.0%,43.3%,3.3%,26.7%,,,10.0%,6.7%,30.0%,70.0%,30.0%,
ECS,Engineering,ENGR,ENGR 30P,Peer-Assisted Learning ENGR 30,Lower,1,17,,23.5%,33.3%,21.4%,28.6%,20.0%,,25.0%,14.3%,,,33.3%,50.0%,30.0%,14.3%,16.7%,30.0%,-11.9,-8.6,,-25.0,-35.7,,,-16.7,-15.7,-13.3,17.6%,82.4%,58.8%,,23.5%,41.2%,,,17.6%,11.8%,58.8%,41.2%,35.3%,
NSM,Geography,GEOG,GEOG 3,Intro Maps+Geog Technologies,Lower,3,17,0.0%,23.5%,25.0%,22.2%,10.0%,42.9%,,0.0%,66.7%,,,0.0%,33.3%,14.3%,66.7%,66.7%,16.7%,-2.8,32.9,,-33.3,33.3,,,-33.3,52.4,50.0,47.1%,52.9%,41.2%,,17.6%,17.6%,,,11.8%,35.3%,82.4%,17.6%,17.6%,
NSM,Geography,GEOG,GEOG 143,Environ Hazards and Society,Upper,3,17,0.0%,23.5%,16.7%,27.3%,25.0%,20.0%,,0.0%,42.9%,,,,12.5%,10.0%,42.9%,50.0%,16.7%,10.6,-5.0,,-12.5,30.4,,,,32.9,33.3,35.3%,64.7%,29.4%,,5.9%,41.2%,,,,47.1%,58.8%,41.2%,23.5%,
SSIS,Political Science,POLS,POLS 130,International Politics,Upper,3,119,13.4%,23.5%,29.7%,16.4%,21.0%,26.3%,14.3%,41.2%,20.4%,,50.0%,0.0%,25.9%,26.8%,20.6%,28.0%,21.5%,-13.3,5.3,-11.6,15.3,-5.6,,24.1,-25.9,-6.2,6.5,53.8%,46.2%,47.9%,5.9%,14.3%,45.4%,,1.7%,4.2%,22.7%,47.1%,52.9%,42.0%,
SSIS,Political Science,POLS,POLS 144,European Politics,Upper,3,34,2.9%,23.5%,20.0%,26.3%,27.8%,18.8%,0.0%,25.0%,66.7%,,0.0%,0.0%,21.4%,16.0%,44.4%,33.3%,22.2%,6.3,-9.0,-21.4,3.6,45.2,,-21.4,-21.4,28.4,11.1,44.1%,55.9%,47.1%,5.9%,11.8%,17.6%,,2.9%,2.9%,41.2%,73.5%,26.5%,17.6%,
ALS,Humanities and Religious Studies,HRS,HRS 188,Fantasy+Romance,Upper,3,38,0.0%,23.7%,24.1%,22.2%,21.1%,26.3%,33.3%,33.3%,22.2%,,,25.0%,18.8%,23.1%,25.0%,0.0%,29.0%,-1.9,5.3,14.6,14.6,3.5,,,6.3,1.9,-29.0,76.3%,23.7%,50.0%,7.9%,15.8%,23.7%,,,10.5%,42.1%,68.4%,31.6%,18.4%,
SSIS,Ethnic Studies,ETHN,ETHN 143,American Indians+Films,Upper,3,38,0.0%,23.7%,25.9%,18.2%,8.3%,30.8%,44.4%,20.0%,27.3%,,,0.0%,12.5%,11.1%,35.0%,41.2%,10.0%,-7.7,22.4,31.9,7.5,14.8,,,-12.5,23.9,31.2,71.1%,28.9%,68.4%,23.7%,13.2%,28.9%,,,2.6%,21.1%,47.4%,52.6%,44.7%,
SSIS,Anthropology,ANTH,ANTH 4,"Lang,Cult+Critcl Thinking",Lower,3,180,2.2%,23.9%,23.9%,24.2%,16.3%,30.9%,30.0%,18.2%,31.3%,0.0%,0.0%,42.9%,4.5%,17.2%,30.1%,22.2%,25.2%,0.3,14.6,25.5,13.6,26.7,-4.5,-4.5,38.3,12.9,-3.0,65.0%,34.4%,52.2%,5.6%,24.4%,44.4%,0.6%,1.1%,7.8%,12.2%,48.3%,51.7%,40.0%,
ALS,English,ENGL,ENGL 40B,"Intro To British Lit,II",Lower,3,46,8.7%,23.9%,20.0%,31.3%,20.7%,29.4%,0.0%,0.0%,42.1%,,,25.0%,14.3%,11.5%,40.0%,23.5%,25.0%,11.3,8.7,-14.3,-14.3,27.8,,,10.7,28.5,-1.5,65.2%,34.8%,37.0%,2.2%,13.0%,41.3%,,,8.7%,30.4%,56.5%,43.5%,37.0%,
NSM,Geology,GEOL,GEOL 10,Physical Geology,Lower,3,92,5.4%,23.9%,20.0%,29.7%,13.5%,30.9%,12.5%,15.4%,31.4%,0.0%,,30.0%,19.0%,20.8%,27.3%,34.3%,16.1%,9.7,17.4,-6.5,-3.7,12.4,-19.0,,11.0,6.4,18.2,59.8%,40.2%,59.8%,8.7%,14.1%,38.0%,1.1%,,10.9%,22.8%,52.2%,47.8%,38.0%,
NSM,Physics,PHYS,PHYS 11C,Gen Phys-Elect & Mag,Lower,4,175,19.4%,24.0%,28.6%,23.1%,27.1%,21.1%,33.3%,18.6%,31.6%,,50.0%,11.1%,22.7%,18.1%,32.9%,27.8%,23.1%,-5.4,-5.9,10.6,-4.1,8.9,,27.3,-11.6,14.8,4.7,16.0%,84.0%,51.4%,5.1%,24.6%,32.6%,,2.3%,5.1%,25.1%,60.0%,40.0%,30.9%,
HHS,Kinesiology,KINS,KINS 28,Jogging,Lower,1,54,,24.1%,19.2%,28.6%,28.6%,21.2%,66.7%,9.1%,18.2%,,,0.0%,27.3%,24.1%,24.0%,19.0%,24.1%,9.3,-7.4,39.4,-18.2,-9.1,,,-27.3,-0.1,-5.1,48.1%,51.9%,61.1%,5.6%,20.4%,40.7%,,,7.4%,20.4%,53.7%,46.3%,38.9%,
SSIS,Political Science,POLS,POLS 136,Intl Political Economy,Upper,3,29,3.4%,24.1%,31.6%,10.0%,22.2%,27.3%,100.0%,22.2%,75.0%,,0.0%,0.0%,0.0%,13.0%,66.7%,27.3%,28.6%,-21.6,5.1,100.0,22.2,75.0,,0.0,0.0,53.6,-1.3,65.5%,34.5%,37.9%,3.4%,31.0%,13.8%,,3.4%,6.9%,24.1%,79.3%,20.7%,37.9%,
SSIS,Economics,ECON,ECON 140,Quantitatve Econ Analysis,Upper,3,91,14.3%,24.2%,35.7%,19.0%,23.4%,25.0%,50.0%,19.4%,30.4%,,0.0%,0.0%,25.0%,21.3%,30.0%,30.8%,21.0%,-16.7,1.6,25.0,-5.6,5.4,,-25.0,-25.0,8.7,9.8,30.8%,69.2%,48.4%,4.4%,34.1%,25.3%,,3.3%,4.4%,22.0%,67.0%,33.0%,28.6%,
SSIS,Psychology,PSYC,PSYC 8,Methods of Psychology,Lower,3,165,6.7%,24.2%,25.4%,19.4%,25.7%,23.1%,27.3%,23.8%,27.7%,50.0%,25.0%,20.0%,8.3%,18.5%,28.0%,27.3%,22.8%,-6.0,-2.6,18.9,15.5,19.4,41.7,16.7,11.7,9.5,4.4,81.2%,18.8%,55.2%,6.7%,12.7%,50.3%,1.2%,2.4%,6.1%,14.5%,39.4%,60.6%,40.0%,
NSM,Mathematics,MATH,MATH 26A,Calculus I Soc+Life Sci,Lower,3,148,12.8%,24.3%,29.7%,15.8%,17.4%,30.4%,40.0%,31.0%,25.4%,100.0%,0.0%,27.3%,13.8%,21.3%,27.4%,28.8%,21.3%,-13.9,13.0,26.2,17.2,11.6,86.2,-13.8,13.5,6.1,7.6,61.5%,38.5%,53.4%,6.8%,19.6%,39.9%,0.7%,2.0%,7.4%,19.6%,50.7%,49.3%,35.1%,
ECS,Civil Engineering,CE,CE 190,CE Project Skills,Upper,3,85,18.8%,24.7%,17.4%,27.4%,19.0%,30.2%,33.3%,16.7%,30.0%,,0.0%,33.3%,21.4%,21.6%,29.4%,14.7%,30.4%,10.0,11.2,11.9,-4.8,8.6,,-21.4,11.9,7.8,-15.7,27.1%,72.9%,50.6%,3.5%,14.1%,35.3%,,1.2%,3.5%,32.9%,60.0%,40.0%,40.0%,
ALS,Art,ART,ART 117C,Art of Korea,Upper,3,20,0.0%,25.0%,23.5%,0.0%,12.5%,33.3%,,25.0%,50.0%,,,0.0%,20.0%,18.8%,50.0%,66.7%,17.6%,-23.5,20.8,,5.0,30.0,,,-20.0,31.3,49.0,85.0%,10.0%,60.0%,,40.0%,20.0%,,,15.0%,25.0%,80.0%,20.0%,15.0%,
ALS,English,ENGL,ENGL 11M,Academic Literacies II-ML,Lower,3,56,0.0%,25.0%,30.6%,15.0%,26.7%,24.4%,,33.3%,25.6%,,,0.0%,0.0%,23.5%,25.6%,21.2%,33.3%,-15.6,-2.3,,33.3,25.6,,,0.0,2.1,-12.1,64.3%,35.7%,73.2%,,16.1%,69.6%,,,3.6%,3.6%,30.4%,69.6%,58.9%,
ALS,History,HIST,HIST 178,Mexican-American History,Upper,3,28,7.1%,25.0%,20.0%,27.8%,25.0%,25.0%,,0.0%,22.7%,,,,0.0%,33.3%,22.7%,25.0%,26.7%,7.8,0.0,,0.0,22.7,,,,-10.6,-1.7,35.7%,64.3%,57.1%,,3.6%,78.6%,,,,10.7%,21.4%,78.6%,42.9%,
