DFW data by course for Fall 2020 - Spring 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highlighted courses mean enrollment per term >= 20 and DFW rate >= 20% (red) or between 15% and 20% (yellow).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,% of enrolled students who are repeating,,DFW Rate,,,,,,,,,,,,,,,,"DFW equity gap (in percentage points)
compared to Female, Not Pell, White, Non-URM, and Not first generation, respectively.
Positive equity gap means the given group has a higher DFW rate than the comparison group",,,,,,,,,,Each group's percent of total course enrollment,,,,,,,,,,,,,
NSM,Geology,GEOL,GEOL 112,Geophysics For Geologists,Upper,3,1,11,11,0.0%,,9.1%,14.3%,0.0%,0.0%,12.5%,,0.0%,0.0%,,,0.0%,0.0%,12.5%,0.0%,25.0%,0.0%,-14.3,12.5,,0.0,0.0,,,0.0,-12.5,25.0,63.6%,36.4%,72.7%,,9.1%,27.3%,,,18.2%,36.4%,72.7%,27.3%,36.4%,
NSM,Geology,GEOL,GEOL 114,Volcanology,Upper,3,1,15,15,6.7%,,13.3%,0.0%,25.0%,25.0%,0.0%,,,0.0%,,,0.0%,20.0%,15.4%,0.0%,0.0%,20.0%,25.0,-25.0,,,-20.0,,,-20.0,-15.4,-20.0,46.7%,53.3%,46.7%,,,13.3%,,,6.7%,66.7%,86.7%,13.3%,33.3%,
NSM,Geology,GEOL,GEOL 115,Volcanoes: An Introduction,Upper,3,3,401,134,0.0%,0.0%,6.2%,6.0%,6.6%,7.0%,5.6%,12.0%,5.1%,6.6%,0.0%,12.5%,0.0%,4.8%,4.9%,7.4%,7.1%,5.5%,0.6,-1.3,7.2,0.3,1.7,-4.8,7.7,-4.8,2.5,1.6,58.4%,41.6%,53.4%,6.2%,14.7%,45.6%,0.2%,2.0%,7.0%,20.7%,45.9%,54.1%,38.7%,
NSM,Geology,GEOL,GEOL 120,Surficial Processes,Upper,4,2,35,18,,2.9%,14.3%,16.7%,11.8%,5.9%,22.2%,33.3%,0.0%,22.2%,,,0.0%,10.0%,8.7%,25.0%,0.0%,16.7%,-4.9,16.3,23.3,-10.0,12.2,,,-10.0,16.3,-16.7,51.4%,48.6%,51.4%,8.6%,5.7%,25.7%,,,2.9%,57.1%,65.7%,34.3%,25.7%,
NSM,Geology,GEOL,GEOL 121,Geology of California,Upper,3,1,23,23,,0.0%,8.7%,22.2%,0.0%,0.0%,18.2%,0.0%,0.0%,11.1%,,,100.0%,0.0%,9.1%,8.3%,20.0%,6.3%,-22.2,18.2,0.0,0.0,11.1,,,100.0,-0.8,13.8,39.1%,60.9%,47.8%,13.0%,4.3%,39.1%,,,4.3%,30.4%,47.8%,52.2%,21.7%,
NSM,Geology,GEOL,GEOL 123,Geochemistry,Upper,3,1,17,17,,5.9%,11.8%,16.7%,9.1%,0.0%,33.3%,0.0%,0.0%,50.0%,,,0.0%,0.0%,7.1%,33.3%,0.0%,7.7%,-7.6,33.3,0.0,0.0,50.0,,,0.0,26.2,-7.7,35.3%,64.7%,35.3%,5.9%,5.9%,11.8%,,,17.6%,35.3%,82.4%,17.6%,11.8%,
NSM,Geology,GEOL,GEOL 126,Environmental Field Methods,Upper,3,1,12,12,,0.0%,25.0%,14.3%,40.0%,40.0%,14.3%,,,0.0%,,,100.0%,25.0%,30.0%,0.0%,0.0%,33.3%,25.7,-25.7,,,-25.0,,,75.0,-30.0,-33.3,58.3%,41.7%,58.3%,,,16.7%,,,8.3%,66.7%,83.3%,16.7%,16.7%,
NSM,Geology,GEOL,GEOL 127,Hydrogeology,Upper,4,2,24,12,,0.0%,4.2%,0.0%,7.7%,0.0%,6.7%,0.0%,0.0%,12.5%,,,0.0%,0.0%,0.0%,11.1%,20.0%,0.0%,7.7,6.7,0.0,0.0,12.5,,,0.0,11.1,20.0,45.8%,54.2%,62.5%,4.2%,4.2%,33.3%,,,8.3%,45.8%,62.5%,37.5%,20.8%,
NSM,Geology,GEOL,GEOL 130,Oceanography,Upper,3,4,"1,032",258,0.7%,0.4%,3.8%,3.8%,3.7%,4.0%,3.6%,4.6%,1.9%,4.2%,0.0%,14.3%,9.8%,2.2%,3.2%,4.4%,4.4%,3.0%,-0.1,-0.3,2.4,-0.3,2.0,-2.2,12.1,7.7,1.2,1.4,66.3%,33.7%,53.4%,6.3%,20.2%,39.1%,0.1%,0.7%,5.9%,22.2%,53.9%,46.1%,39.5%,
NSM,Geology,GEOL,GEOL 132,Marine Geology,Upper,3,1,8,8,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,75.0%,25.0%,50.0%,12.5%,,37.5%,,,12.5%,25.0%,50.0%,50.0%,12.5%,
NSM,Geology,GEOL,GEOL 140,Geology+Environment,Upper,3,4,273,68,2.1%,3.8%,11.0%,14.1%,9.6%,12.6%,9.2%,14.3%,12.3%,9.3%,,0.0%,16.7%,10.8%,11.7%,9.4%,15.2%,9.0%,-4.5,-3.4,3.5,1.6,-1.4,,-10.8,5.9,-2.3,6.2,31.1%,68.9%,47.6%,2.6%,23.8%,27.5%,,1.1%,6.6%,34.1%,68.9%,31.1%,33.7%,
NSM,Geology,GEOL,GEOL 150,Computer Mapping in Geology,Upper,3,2,23,12,4.3%,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,39.1%,60.9%,34.8%,,8.7%,26.1%,,,4.3%,60.9%,73.9%,26.1%,8.7%,
NSM,Geology,GEOL,GEOL 170,Age of Dinosaurs,Upper,3,3,265,88,0.0%,0.0%,6.4%,7.1%,5.6%,5.4%,7.4%,0.0%,1.9%,14.1%,,0.0%,5.3%,1.7%,2.5%,12.1%,9.0%,5.1%,-1.5,2.0,-1.7,0.1,12.4,,-1.7,3.5,9.6,3.9,52.8%,47.2%,50.9%,3.8%,20.4%,34.7%,,1.9%,7.2%,21.9%,59.6%,40.4%,37.7%,
NSM,Geology,GEOL,GEOL 184,Geological Field Trip,Upper,2,2,30,15,,,3.3%,0.0%,5.9%,0.0%,6.3%,0.0%,0.0%,14.3%,,,0.0%,0.0%,0.0%,12.5%,20.0%,0.0%,5.9,6.3,0.0,0.0,14.3,,,0.0,12.5,20.0,43.3%,56.7%,53.3%,3.3%,6.7%,23.3%,,,10.0%,50.0%,73.3%,26.7%,16.7%,
NSM,Geology,GEOL,GEOL 188,Advanced Geologic Mapping,Upper,6,2,32,16,,0.0%,6.3%,6.3%,6.3%,6.3%,6.3%,50.0%,0.0%,0.0%,,,0.0%,5.9%,4.3%,11.1%,0.0%,3.8%,0.0,0.0,44.1,-5.9,-5.9,,,-5.9,6.8,-3.8,50.0%,50.0%,50.0%,6.3%,6.3%,21.9%,,,9.4%,53.1%,71.9%,28.1%,9.4%,
NSM,Geology,GEOL,GEOL 189,Geology Colloquium,Upper,1,4,52,13,,,7.7%,12.5%,3.6%,0.0%,13.8%,0.0%,0.0%,9.1%,,,25.0%,0.0%,7.4%,8.0%,7.1%,6.1%,-8.9,13.8,0.0,0.0,9.1,,,25.0,0.6,1.1,46.2%,53.8%,55.8%,5.8%,3.8%,42.3%,,,7.7%,34.6%,51.9%,48.1%,26.9%,
NSM,Geology,GEOL,GEOL 193C,Engineering Geology,Upper,3,1,11,11,0.0%,,27.3%,25.0%,28.6%,0.0%,33.3%,0.0%,,50.0%,,,100.0%,0.0%,16.7%,40.0%,50.0%,16.7%,3.6,33.3,0.0,,50.0,,,100.0,23.3,33.3,36.4%,63.6%,81.8%,9.1%,,36.4%,,,9.1%,45.5%,54.5%,45.5%,36.4%,
NSM,Geology,GEOL,GEOL 198A,Senior Research Preparatn,Upper,1,3,5,2,0.0%,0.0%,20.0%,0.0%,50.0%,0.0%,33.3%,,,0.0%,,,,25.0%,25.0%,0.0%,100.0%,0.0%,50.0,33.3,,,-25.0,,,,-25.0,100.0,60.0%,40.0%,60.0%,,,20.0%,,,,80.0%,80.0%,20.0%,20.0%,
NSM,Geology,GEOL,GEOL 198B,Senior Research Project,Upper,2,2,4,2,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,,0.0%,0.0,0.0,,,0.0,,,,0.0,,75.0%,25.0%,50.0%,,,25.0%,,,,75.0%,75.0%,25.0%,,
NSM,Geology,GEOL,GEOL 199B,Intermediate Special Problems,Upper,1.5,1,2,2,,,0.0%,0.0%,0.0%,0.0%,,,,,,,,0.0%,0.0%,,,0.0%,0.0,,,,,,,,,,50.0%,50.0%,,,,,,,,100.0%,100.0%,,,
NSM,Geology,GEOL,GEOL 199C,Advanced Special Problems,Upper,1,1,8,8,,,0.0%,0.0%,,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0,,0.0,0.0,,,,0.0,0.0,100.0%,,62.5%,,12.5%,12.5%,,,,75.0%,87.5%,12.5%,12.5%,
NSM,Mathematics,MATH,MATH 1,Mathematical Reasoning,Lower,3,4,"1,789",447,7.2%,7.9%,19.5%,18.7%,20.6%,16.9%,21.4%,27.5%,16.2%,20.0%,0.0%,26.7%,18.6%,15.9%,16.6%,21.3%,21.9%,17.7%,1.9,4.4,11.6,0.3,4.1,-15.9,10.8,2.7,4.6,4.2,64.8%,35.0%,56.8%,10.2%,14.5%,49.7%,0.3%,0.8%,6.3%,14.8%,39.0%,61.0%,42.6%,
NSM,Mathematics,MATH,MATH 10,Essentials of Algebra,Lower,3,4,976,244,5.2%,9.2%,23.3%,22.9%,23.7%,18.8%,26.7%,29.7%,22.5%,26.3%,0.0%,0.0%,29.4%,11.1%,19.2%,26.4%,29.6%,18.0%,0.7,7.9,18.6,11.3,15.2,-11.1,-11.1,18.3,7.1,11.6,57.2%,42.8%,56.5%,9.3%,19.2%,45.9%,0.1%,1.0%,5.2%,14.8%,43.6%,56.4%,42.9%,
NSM,Mathematics,MATH,MATH 12,Algebra for College Students,Lower,4,4,"1,155",289,5.2%,28.1%,36.2%,37.7%,35.0%,37.5%,35.3%,40.7%,26.8%,43.3%,,25.0%,44.4%,21.9%,28.6%,42.6%,40.3%,32.6%,-2.8,-2.3,18.8,4.9,21.4,,3.1,22.5,14.0,7.7,45.2%,54.7%,58.7%,7.4%,22.9%,45.5%,,1.0%,5.5%,11.9%,46.0%,54.0%,43.6%,
NSM,Mathematics,MATH,MATH 17,Explor Conjecture+Proof,Lower,3,4,242,61,4.6%,13.2%,14.9%,17.0%,2.9%,11.7%,17.3%,41.7%,3.0%,19.8%,,0.0%,7.7%,10.8%,8.2%,21.7%,15.4%,14.9%,-14.1,5.6,30.9,-7.7,9.0,,-10.8,-3.1,13.5,0.5,85.1%,14.5%,57.4%,5.0%,13.6%,43.8%,,0.8%,5.4%,26.9%,50.4%,49.6%,43.0%,
NSM,Mathematics,MATH,MATH 24,Modern Business Math,Lower,3,4,"1,730",433,6.4%,8.7%,17.9%,16.8%,18.8%,18.1%,17.6%,26.4%,14.0%,21.4%,0.0%,29.4%,16.3%,14.2%,14.2%,22.3%,20.1%,16.8%,2.0,-0.5,12.2,-0.2,7.2,-14.2,15.2,2.1,8.1,3.3,45.8%,54.1%,48.3%,7.5%,23.1%,36.8%,0.1%,1.0%,5.3%,18.7%,54.6%,45.4%,35.0%,
NSM,Mathematics,MATH,MATH 26A,Calculus I Soc+Life Sci,Lower,3,4,973,243,7.9%,8.7%,19.2%,21.6%,16.0%,16.3%,21.9%,28.8%,16.4%,25.8%,100.0%,10.0%,14.5%,12.2%,13.5%,25.6%,22.4%,17.1%,-5.6,5.7,16.6,4.2,13.6,87.8,-2.2,2.3,12.1,5.2,57.6%,42.4%,52.0%,5.3%,21.9%,39.9%,0.1%,2.1%,5.7%,18.5%,52.6%,47.4%,39.1%,
NSM,Mathematics,MATH,MATH 26B,Calculus II Soc+Life Sci,Lower,3,4,121,30,10.1%,1.9%,9.9%,22.2%,6.4%,10.2%,9.7%,25.0%,18.2%,5.6%,,0.0%,20.0%,3.6%,11.3%,7.3%,10.0%,10.1%,-15.8,-0.5,21.4,14.6,2.0,,-3.6,16.4,-3.9,-0.1,22.3%,77.7%,51.2%,3.3%,27.3%,29.8%,,0.8%,4.1%,23.1%,66.1%,33.9%,33.1%,
NSM,Mathematics,MATH,MATH 29,Pre-Calculus Math,Lower,4,4,861,215,7.1%,12.6%,22.1%,18.8%,23.3%,21.8%,22.2%,22.8%,16.2%,26.6%,,42.9%,25.0%,16.9%,18.1%,26.4%,22.9%,21.6%,4.5,0.4,5.9,-0.8,9.7,,25.9,8.1,8.3,1.3,27.2%,72.7%,58.5%,6.6%,28.0%,40.5%,,0.8%,4.2%,14.4%,52.0%,48.0%,38.6%,
NSM,Mathematics,MATH,MATH 30,Calculus I,Lower,4,4,"1,482",371,8.6%,23.3%,27.9%,27.4%,28.1%,27.5%,28.4%,46.1%,22.2%,33.8%,0.0%,36.4%,21.0%,24.4%,23.1%,35.4%,29.1%,28.2%,0.7,0.8,21.7,-2.2,9.4,-24.4,12.0,-3.4,12.3,0.9,26.4%,73.5%,49.3%,5.1%,30.7%,33.1%,0.1%,0.7%,4.2%,18.8%,60.9%,39.1%,32.1%,
NSM,Mathematics,MATH,MATH 31,Calculus II,Lower,4,4,"1,284",321,14.5%,11.3%,22.7%,21.0%,23.3%,21.8%,23.8%,38.3%,18.7%,30.1%,100.0%,0.0%,3.7%,22.3%,18.4%,30.5%,25.3%,22.1%,2.3,2.1,16.0,-3.6,7.9,77.7,-22.3,-18.6,12.1,3.2,23.4%,76.6%,47.7%,3.7%,29.6%,31.5%,0.1%,0.8%,4.2%,22.0%,63.9%,36.1%,31.4%,
NSM,Mathematics,MATH,MATH 32,Calculus III,Lower,4,4,718,180,14.5%,22.4%,31.5%,28.2%,32.3%,28.5%,35.0%,31.6%,28.9%,35.6%,50.0%,57.1%,39.0%,25.3%,29.1%,36.0%,30.4%,32.9%,4.1,6.4,6.3,3.6,10.3,24.7,31.8,13.7,6.9,-2.5,21.7%,78.0%,45.8%,2.6%,26.0%,30.5%,0.3%,1.0%,8.2%,22.0%,65.6%,34.4%,34.4%,
NSM,Mathematics,MATH,MATH 35,Intro To Linear Algebra,Lower,3,4,96,24,7.8%,0.0%,11.5%,10.9%,12.0%,7.0%,15.1%,0.0%,14.3%,17.6%,,0.0%,16.7%,0.0%,8.5%,16.2%,6.5%,14.8%,1.1,8.1,0.0,14.3,17.6,,0.0,16.7,7.7,-8.3,47.9%,52.1%,55.2%,2.1%,21.9%,35.4%,,1.0%,12.5%,17.7%,61.5%,38.5%,32.3%,
NSM,Mathematics,MATH,MATH 45,Differntl Equatn Sci+Engr,Lower,3,4,868,217,8.1%,9.1%,18.4%,15.4%,19.1%,17.6%,19.4%,25.7%,11.4%,26.8%,0.0%,20.0%,22.2%,13.4%,14.2%,26.4%,22.3%,16.8%,3.7,1.8,12.3,-2.0,13.5,-13.4,6.6,8.8,12.2,5.6,18.7%,81.2%,46.3%,4.0%,26.3%,29.6%,0.2%,0.6%,6.2%,24.1%,65.6%,34.4%,33.5%,
NSM,Mathematics,MATH,MATH 96C,Academic Strategies Math 10,Lower,1,1,5,5,,,0.0%,0.0%,,0.0%,0.0%,,,0.0%,,,,,0.0%,0.0%,0.0%,0.0%,,0.0,,,,,,,0.0,0.0,100.0%,,80.0%,,,80.0%,,,,,20.0%,80.0%,60.0%,
NSM,Mathematics,MATH,MATH 96D,Academic Strategies Math 24,Lower,1,1,38,38,,,2.6%,0.0%,8.3%,0.0%,4.2%,0.0%,0.0%,5.6%,,0.0%,,0.0%,0.0%,4.2%,5.6%,0.0%,8.3,4.2,0.0,0.0,5.6,,0.0,,4.2,5.6,68.4%,31.6%,63.2%,10.5%,21.1%,47.4%,,5.3%,,13.2%,36.8%,63.2%,47.4%,
NSM,Mathematics,MATH,MATH 99,Special Problems,Lower,1,4,160,40,,,7.5%,8.2%,6.5%,4.3%,9.9%,6.3%,0.0%,14.7%,,0.0%,0.0%,0.0%,0.0%,13.0%,10.0%,4.8%,-1.7,5.5,6.3,0.0,14.7,,0.0,0.0,13.0,5.2,61.3%,38.8%,56.9%,10.0%,16.3%,46.9%,,0.6%,5.0%,15.0%,42.5%,57.5%,43.8%,
NSM,Mathematics,MATH,MATH 100,Applied Linear Algebra,Upper,3,4,566,142,6.7%,8.9%,13.1%,16.0%,12.4%,14.8%,11.1%,32.0%,9.4%,16.8%,0.0%,0.0%,9.7%,12.0%,10.7%,18.4%,13.9%,13.0%,-3.6,-3.6,20.0,-2.6,4.8,-12.0,-12.0,-2.3,7.7,0.9,18.7%,81.3%,46.1%,4.4%,30.0%,25.3%,0.4%,0.7%,5.5%,25.1%,69.3%,30.7%,29.3%,
NSM,Mathematics,MATH,MATH 101,Combinatorics,Upper,3,2,60,30,,1.7%,15.0%,15.8%,14.6%,17.9%,12.5%,0.0%,6.3%,31.3%,,,0.0%,8.3%,10.3%,23.8%,15.0%,14.7%,-1.2,-5.4,-8.3,-2.1,22.9,,,-8.3,13.6,0.3,31.7%,68.3%,53.3%,8.3%,26.7%,26.7%,,,5.0%,20.0%,65.0%,35.0%,33.3%,
NSM,Mathematics,MATH,MATH 102,Number Theory,Upper,3,4,210,53,5.3%,5.1%,15.2%,11.4%,17.1%,16.3%,14.4%,0.0%,14.3%,18.4%,,,30.0%,11.9%,14.8%,16.4%,14.7%,15.3%,5.7,-1.9,-11.9,2.3,6.4,,,18.1,1.5,-0.6,33.3%,66.7%,56.2%,2.9%,30.0%,23.3%,,,4.8%,31.9%,73.8%,26.2%,32.4%,
NSM,Mathematics,MATH,MATH 104,Vector Analysis,Upper,3,1,12,12,,0.0%,25.0%,0.0%,27.3%,0.0%,42.9%,,40.0%,0.0%,,,,50.0%,37.5%,0.0%,16.7%,33.3%,27.3,42.9,,-10.0,-50.0,,,,-37.5,-16.7,8.3%,91.7%,58.3%,,41.7%,33.3%,,,,16.7%,66.7%,33.3%,50.0%,
NSM,Mathematics,MATH,MATH 105A,Adv Math Science+Engr I,Upper,4,4,95,24,5.6%,26.1%,24.2%,22.7%,24.7%,31.1%,18.0%,33.3%,21.7%,30.4%,,33.3%,60.0%,13.3%,21.2%,31.0%,37.0%,18.5%,1.9,-13.1,20.0,8.4,17.1,,20.0,46.7,9.8,18.6,23.2%,76.8%,52.6%,3.2%,24.2%,24.2%,,3.2%,5.3%,31.6%,69.5%,30.5%,28.4%,
NSM,Mathematics,MATH,MATH 105B,Adv Math Science+Engr II,Upper,4,4,85,21,16.1%,9.3%,18.8%,5.6%,22.4%,19.1%,18.4%,25.0%,26.3%,30.0%,,33.3%,20.0%,4.2%,13.8%,29.6%,12.0%,20.7%,16.8,-0.7,20.8,22.1,25.8,,29.2,15.8,15.8,-8.7,21.2%,78.8%,44.7%,4.7%,22.4%,23.5%,,3.5%,5.9%,28.2%,68.2%,31.8%,29.4%,
NSM,Mathematics,MATH,MATH 107A,Fundamental Math Concepts,Upper,3,4,388,97,2.9%,6.8%,8.0%,8.2%,6.1%,5.7%,10.3%,21.4%,5.0%,15.1%,,0.0%,3.7%,2.1%,2.7%,15.3%,15.3%,4.3%,-2.1,4.6,19.3,2.9,12.9,,-2.1,1.6,12.7,11.1,91.5%,8.5%,50.3%,3.6%,10.3%,37.6%,,0.8%,7.0%,36.3%,58.0%,42.0%,32.0%,
NSM,Mathematics,MATH,MATH 107B,Fundmntal Math Concepts,Upper,3,4,399,100,3.0%,3.9%,6.8%,6.3%,11.8%,7.9%,5.6%,0.0%,6.5%,9.5%,0.0%,0.0%,3.7%,5.5%,5.5%,8.6%,7.9%,6.5%,5.5,-2.3,-5.5,1.0,4.0,-5.5,-5.5,-1.8,3.2,1.4,91.5%,8.5%,49.1%,3.0%,11.5%,36.8%,0.5%,0.3%,6.8%,36.6%,59.4%,40.6%,31.8%,
NSM,Mathematics,MATH,MATH 107C,Elem Math & Learning Process,Upper,3,2,34,17,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,,0.0,0.0,97.1%,2.9%,47.1%,,20.6%,26.5%,,,,47.1%,73.5%,26.5%,38.2%,
NSM,Mathematics,MATH,MATH 108,Intro Formal Mathematics,Upper,3,4,211,53,9.6%,14.4%,17.5%,17.1%,17.8%,15.1%,19.5%,28.6%,22.9%,22.1%,,,8.3%,6.8%,14.7%,22.7%,25.7%,13.1%,0.8,4.4,21.8,16.1,15.3,,,1.6,8.0,12.6,38.9%,61.1%,55.9%,3.3%,22.7%,32.2%,,,5.7%,28.0%,64.5%,35.5%,35.1%,
NSM,Mathematics,MATH,MATH 110A,Modern Algebra,Upper,3,4,192,48,17.2%,12.4%,25.5%,31.3%,22.4%,16.7%,30.8%,40.0%,23.1%,41.8%,,,22.2%,8.1%,15.8%,41.7%,31.9%,20.0%,-8.9,14.2,31.9,15.0,33.7,,,14.2,25.8,11.9,34.9%,65.1%,62.5%,2.6%,20.3%,34.9%,,,4.7%,32.3%,62.5%,37.5%,37.5%,
NSM,Mathematics,MATH,MATH 110B,Modern Algebra,Upper,3,4,152,38,5.1%,4.1%,11.2%,16.3%,8.7%,7.2%,14.5%,0.0%,6.7%,19.4%,,,0.0%,12.3%,8.9%,17.5%,12.8%,11.0%,-7.6,7.2,-12.3,-5.6,7.1,,,-12.3,8.6,1.8,32.2%,67.8%,54.6%,2.6%,19.7%,23.7%,,,5.3%,42.8%,73.7%,26.3%,30.9%,
NSM,Mathematics,MATH,MATH 117,Linear Algebra,Upper,3,2,31,16,3.2%,,6.5%,12.5%,4.3%,14.3%,0.0%,0.0%,20.0%,20.0%,,,0.0%,0.0%,4.0%,16.7%,0.0%,10.5%,-8.2,-14.3,0.0,20.0,20.0,,,0.0,12.7,-10.5,25.8%,74.2%,54.8%,3.2%,16.1%,16.1%,,,6.5%,35.5%,80.6%,19.4%,25.8%,
NSM,Mathematics,MATH,MATH 121,College Geometry,Upper,3,4,115,29,8.6%,6.7%,17.4%,8.7%,23.2%,17.5%,17.3%,0.0%,20.7%,24.2%,,,0.0%,15.0%,15.2%,22.2%,10.5%,18.9%,14.5,-0.2,-15.0,5.7,9.2,,,-15.0,7.0,-8.4,40.0%,60.0%,65.2%,2.6%,25.2%,28.7%,,,6.1%,34.8%,68.7%,31.3%,33.0%,
NSM,Mathematics,MATH,MATH 130A,Function of Real Variable,Upper,3,4,162,41,13.9%,19.1%,23.5%,25.5%,22.5%,12.9%,31.5%,0.0%,20.0%,35.6%,,,22.2%,21.2%,19.1%,34.0%,26.9%,21.9%,-3.0,18.7,-21.2,-1.2,14.3,,,1.0,14.9,5.0,31.5%,68.5%,56.8%,1.2%,18.5%,27.8%,,,5.6%,40.7%,71.0%,29.0%,32.1%,
NSM,Mathematics,MATH,MATH 130B,Function Of Real Variable,Upper,3,4,141,35,10.6%,3.2%,6.4%,2.2%,8.3%,9.3%,3.0%,0.0%,3.4%,9.4%,,,11.1%,6.6%,5.6%,8.8%,2.2%,8.9%,6.1,-6.3,-6.6,-3.1,2.8,,,4.6,3.2,-6.7,31.9%,68.1%,46.8%,1.4%,20.6%,22.7%,,,6.4%,43.3%,75.9%,24.1%,31.9%,
NSM,Mathematics,MATH,MATH 134,Functs Complx Varibl+Appl,Upper,3,2,53,27,,0.0%,3.8%,0.0%,5.7%,0.0%,6.9%,0.0%,0.0%,9.1%,,,0.0%,0.0%,2.6%,7.1%,5.6%,3.2%,5.7,6.9,0.0,0.0,9.1,,,0.0,4.6,2.3,34.0%,66.0%,54.7%,5.7%,13.2%,20.8%,,,5.7%,37.7%,73.6%,26.4%,34.0%,
NSM,Mathematics,MATH,MATH 150,Intro Numerical Analysis,Upper,3,2,50,25,,2.0%,12.0%,0.0%,15.0%,12.9%,10.5%,,7.7%,12.5%,,,33.3%,15.0%,11.9%,12.5%,0.0%,16.2%,15.0,-2.4,,-7.3,-2.5,,,18.3,0.6,-16.2,20.0%,80.0%,38.0%,,26.0%,16.0%,,,6.0%,40.0%,84.0%,16.0%,24.0%,
NSM,Mathematics,MATH,MATH 161,Mathematical Logic,Upper,3,1,6,6,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,,,,,0.0,0.0,16.7%,83.3%,66.7%,16.7%,16.7%,,,,,50.0%,83.3%,16.7%,33.3%,
NSM,Mathematics,MATH,MATH 162,Set Theory,Upper,3,1,7,7,,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0,0.0,0.0,,,,,0.0,0.0,,100.0%,42.9%,14.3%,14.3%,,,,,28.6%,85.7%,14.3%,28.6%,
NSM,Mathematics,MATH,MATH 170,Linear Programming,Upper,3,2,51,26,5.9%,,11.8%,0.0%,13.3%,17.9%,4.3%,0.0%,16.7%,10.0%,,,0.0%,7.1%,13.2%,7.7%,21.1%,6.7%,13.3,-13.5,-7.1,9.5,2.9,,,-7.1,-5.5,14.4,11.8%,88.2%,45.1%,5.9%,35.3%,19.6%,,,7.8%,27.5%,74.5%,25.5%,37.3%,
NSM,Mathematics,MATH,MATH 190,History Of Mathematics,Upper,3,4,92,23,4.3%,0.0%,4.3%,2.9%,5.2%,3.1%,5.0%,0.0%,6.3%,4.3%,,,16.7%,0.0%,4.5%,4.0%,5.9%,1.9%,2.2,1.9,0.0,6.3,4.3,,,16.7,-0.5,4.0,37.0%,63.0%,65.2%,2.2%,34.8%,25.0%,,,6.5%,27.2%,72.8%,27.2%,37.0%,
NSM,Mathematics,MATH,MATH 193,Capstone Cours Teach Cred,Upper,3,3,52,17,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,34.6%,65.4%,55.8%,1.9%,23.1%,23.1%,,,5.8%,42.3%,75.0%,25.0%,30.8%,
NSM,Mathematics,MATH,MATH 198,Seminar For Math Tutors,Upper,2,4,13,3,,,15.4%,0.0%,28.6%,25.0%,11.1%,,33.3%,0.0%,,,0.0%,0.0%,20.0%,0.0%,0.0%,22.2%,28.6,-13.9,,33.3,0.0,,,0.0,-20.0,-22.2,46.2%,53.8%,69.2%,,46.2%,23.1%,,,7.7%,15.4%,76.9%,23.1%,23.1%,
NSM,Mathematics,MATH,MATH 199,Special Problems,Upper,2.2,4,6,2,,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,,0.0,0.0,16.7%,83.3%,16.7%,,50.0%,16.7%,,,,16.7%,83.3%,16.7%,16.7%,
NSM,Mathematics,STAT,STAT 1,Intro To Statistics,Lower,3,4,"3,786",947,6.8%,9.0%,20.5%,22.0%,18.1%,19.3%,21.9%,28.7%,15.1%,26.4%,25.0%,18.6%,18.2%,14.4%,15.4%,26.5%,25.5%,17.8%,-3.9,2.6,14.2,0.7,12.0,10.6,4.2,3.8,11.0,7.7,61.7%,38.2%,49.1%,6.6%,25.5%,38.1%,0.1%,1.6%,5.1%,16.8%,53.6%,46.4%,37.4%,
